Year,Month,State,Genus Species,Serotype or Genotype,Etiology Status,Location of Preparation,Illnesses,Hospitalizations,Deaths,Food Vehicle,Contaminated Ingredient,Specific Location
2009,4,Ohio,,,,Restaurant,3,0.0,0.0,,,Sit-down dining
2009,2,Ohio,Norovirus Genogroup I,,Confirmed,Caterer,70,1.0,0.0,egg salad/egg salad sandwich,,(food prepared off-site from where served)
2009,1,Connecticut,Norovirus Genogroup II,,Confirmed,Restaurant,21,0.0,0.0,ice,,Sit-down dining
2009,1,Connecticut,Salmonella enterica,Enteritidis,Confirmed,Restaurant,7,2.0,0.0,"lasagna, vegetarian",,Sit-down dining; Caterer (food prepared off-site from where served)
2009,2,Connecticut,Salmonella enterica,Typhimurium,Confirmed,Restaurant,4,1.0,0.0,,,"other or unknown type; Private home/residence; Fair, festival, other temp or mobile services"
2009,1,California,,,,Restaurant,3,0.0,0.0,bun,,"""Fast-food""(drive up service or pay at counter)"
2009,4,Illinois,,,,Restaurant,2,0.0,0.0,,,other or unknown type
2009,4,Minnesota,Norovirus,,Confirmed,Restaurant,10,0.0,0.0,,,Sit-down dining
2009,1,Missouri,,,,Banquet,40,0.0,0.0,,,Facility (food prepared and served on-site)
2009,4,New York,Salmonella enterica,Enteritidis,Confirmed,Restaurant,13,4.0,0.0,"lamb, chops",,Sit-down dining
2009,3,New York,,,,Restaurant,3,0.0,0.0,"ribs, pork",pork,Sit-down dining
2009,3,Oklahoma,Salmonella enterica,Enteritidis,Confirmed,Restaurant,25,4.0,0.0,,,Sit-down dining
2009,4,Ohio,,,,Restaurant,10,0.0,0.0,,,"""Fast-food""(drive up service or pay at counter); Private home/residence; Grocery store"
2009,3,Alabama,Norovirus Genogroup II,,Suspected,Restaurant,35,0.0,0.0,,,Sit-down dining
2009,2,Wisconsin,Norovirus Genogroup II,,Confirmed,Caterer,16,0.0,0.0,cake,,(food prepared off-site from where served)
2009,1,South Carolina,,,,Caterer,14,0.0,0.0,,,(food prepared off-site from where served)
2009,1,South Carolina,Norovirus Genogroup II,,Suspected,Restaurant,4,0.0,0.0,,,Sit-down dining
2009,4,Illinois,,,,Restaurant,3,1.0,0.0,,,other or unknown type
2009,4,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant,4,1.0,0.0,,,Sit-down dining
2009,1,California,,,,Restaurant,4,0.0,0.0,,,Sit-down dining
2009,4,Ohio,,,,Other,3,0.0,0.0,"sandwich, steak",,
2009,3,Oregon,Norovirus Genogroup II,,Confirmed,Restaurant,12,,0.0,,,"""Fast-food""(drive up service or pay at counter)"
2009,3,Oregon,Norovirus Genogroup II,,Confirmed,School/college/university,49,0.0,0.0,,,
2009,4,Hawaii,Histamine,,Confirmed,Prison/jail,13,0.0,0.0,"fish, ahi","fish, ahi",
2009,3,Connecticut,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Office/indoor,60,5.0,0.0,chicken tenders,,workplace
2009,4,Illinois,Norovirus,,Suspected,Office/indoor,11,0.0,0.0,,,workplace
2009,5,Ohio,Clostridium perfringens,,Confirmed,Private,23,0.0,0.0,chicken,,home/residence
2009,4,Minnesota,Norovirus,,Confirmed,Restaurant,17,0.0,0.0,,,"""Fast-food""(drive up service or pay at counter)"
2009,4,Ohio,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant,3,2.0,0.0,"ground beef, cheeseburger",,Sit-down dining
2009,2,Mississippi,Norovirus unknown; Staphylococcus unknown,,Confirmed; Confirmed,Prison/jail,66,0.0,0.0,cabbage; ice,,
2009,2,Mississippi,Salmonella enterica,Enteritidis,Confirmed,Prison/jail,184,3.0,0.0,,,
2009,4,Iowa,Norovirus Genogroup II,,Confirmed,,27,1.0,0.0,lettuce based salads,,
2009,4,Oregon,,,,Restaurant,11,0.0,0.0,,,Sit-down dining
2009,4,Connecticut,,,,Private,5,1.0,0.0,asparagus; horseradish,,home/residence
2009,4,Connecticut,Bacillus cereus,,Confirmed,School/college/university,47,0.0,0.0,macaroni and cheese,,Other
2009,5,Connecticut,Norovirus Genogroup II,,Confirmed,Restaurant,13,0.0,0.0,filet mignon appetizer,,Sit-down dining
2009,4,Wisconsin,Clostridium perfringens,,Confirmed,Restaurant,8,0.0,0.0,,,Sit-down dining
2009,1,California,Norovirus unknown,,Suspected,,10,0.0,0.0,,,
2009,3,New York,Salmonella enterica,Saintpaul,Confirmed,Unknown,3,0.0,0.0,,,
2009,4,Wisconsin,Salmonella enterica,Enteritidis,Confirmed,Private,14,2.0,0.0,deviled eggs,,home/residence
2009,2,Florida,,,,Restaurant,3,1.0,0.0,"salad, unspecified",,"""Fast-food""(drive up service or pay at counter)"
2009,4,Pennsylvania,,,,,5,0.0,0.0,,,
2009,2,Florida,Norovirus,,Confirmed,Banquet,30,0.0,0.0,vinagarette-based dressing,,Facility (food prepared and served on-site)
2009,5,Pennsylvania,Campylobacter jejuni,,Confirmed,Private,2,0.0,0.0,"milk, whole milk unpasteurized",,home/residence
2009,5,Illinois,,,,Caterer,5,0.0,0.0,,,(food prepared off-site from where served)
2009,5,Illinois,Norovirus Genogroup II,,Confirmed,Banquet,39,0.0,0.0,,,Facility (food prepared and served on-site)
2009,5,Illinois,Norovirus Genogroup I,,Suspected,Private,32,0.0,0.0,,,home/residence
2009,5,Illinois,,,,Restaurant,18,0.0,0.0,,,other or unknown type
2009,1,California,Norovirus unknown,,Confirmed,Restaurant,10,0.0,0.0,,,Sit-down dining
2009,1,California,Norovirus unknown,,Suspected,Restaurant,7,0.0,0.0,,,Sit-down dining
2009,2,California,,,,Restaurant,4,0.0,0.0,spring roll,,Sit-down dining
2009,5,Ohio,Mycotoxins,,Confirmed,,2,0.0,0.0,candy,,
2009,2,California,Norovirus unknown,,Suspected,,9,0.0,0.0,,,
2009,2,California,,,,Restaurant,4,0.0,0.0,,,"""Fast-food""(drive up service or pay at counter)"
2009,2,California,,,,Restaurant,5,0.0,0.0,,,Sit-down dining
2009,3,California,,,,,31,0.0,0.0,,,
2009,3,California,Bacillus cereus,,Suspected,Restaurant,7,0.0,0.0,bean dishes,,"""Fast-food""(drive up service or pay at counter); Private home/residence; Grocery store"
2009,4,California,Other - Bacterium,,Suspected,,7,0.0,0.0,,,
2009,4,California,Norovirus Genogroup II,,Confirmed,Restaurant,9,0.0,0.0,,,"""Fast-food""(drive up service or pay at counter)"
2009,5,Ohio,Norovirus Genogroup II,GII_4 Den Haag (2006),Confirmed,Restaurant,15,0.0,0.0,,,Sit-down dining
2009,5,New York,Bacillus cereus,,Suspected,Banquet,20,1.0,0.0,"chicken, chimichanga",chicken,Facility (food prepared and served on-site)
2009,5,Virginia,Staphylococcus aureus,,Confirmed,Private,19,0.0,0.0,egg salad/egg salad sandwich,,home/residence; Religious facility
2009,5,South Carolina,Clostridium perfringens,,Confirmed,Private,350,0.0,0.0,"beans, baked",,home/residence
2009,1,South Carolina,Norovirus Genogroup II,,Confirmed,,13,0.0,0.0,,,
2009,5,Arizona,Enterococcus faecalis,,Confirmed,Restaurant,13,0.0,0.0,"sandwich, submarine",,"""Fast-food""(drive up service or pay at counter)"
2009,5,Connecticut,Norovirus Genogroup II,,Confirmed,Restaurant,2,0.0,0.0,,,Sit-down dining
2009,6,Virginia,Staphylococcus aureus,,Suspected,Other,12,0.0,0.0,"chicken, strips",,
2009,1,Wisconsin,Norovirus Genogroup II,,Confirmed,Restaurant,62,1.0,0.0,,,Sit-down dining
2009,6,Minnesota,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private,4,0.0,0.0,potato salad,,home/residence
2009,5,Wisconsin,,,,,49,,,,,
2009,6,Ohio,Campylobacter unknown,,Suspected,Restaurant,2,1.0,0.0,,,Sit-down dining
2009,5,California,Norovirus unknown,,Suspected,Private,26,0.0,0.0,cactus salad; multiple foods,,home/residence
2009,6,Maryland,,,,Restaurant,3,0.0,0.0,chicken fried rice,,Sit-down dining
2009,5,Wisconsin,"Escherichia coli, Enterotoxigenic",,Confirmed,,8,0.0,0.0,,,
2009,1,Maryland,Norovirus Genogroup II,,Confirmed,Restaurant,12,0.0,0.0,,,Sit-down dining
2009,4,Massachusetts,Salmonella enterica,Typhimurium,Confirmed,Private,50,,0.0,,,home/residence
2009,1,Maryland,Norovirus Genogroup II,,Confirmed,Restaurant,13,0.0,0.0,,,Sit-down dining
2009,4,California,Norovirus unknown,,Confirmed,,18,0.0,0.0,"egg-containing food, other",,
2009,5,Minnesota,Norovirus,,Suspected,Private,11,0.0,0.0,potato salad,,home/residence
2009,4,Maryland,,,,,7,0.0,0.0,,,
2009,4,Virginia,Brucella unknown,,Confirmed,Other,4,1.0,0.0,goat cheese; cow cheese,,
2009,6,Tennessee,Norovirus Genogroup II,,Confirmed,Restaurant,11,0.0,0.0,cheese dip,,Sit-down dining
2009,4,Kansas,,,,Restaurant,4,0.0,0.0,pork,pork,Sit-down dining
2009,6,Illinois,,,,Restaurant,3,0.0,0.0,,,Sit-down dining
2009,6,Illinois,,,,Restaurant,2,0.0,0.0,,,Sit-down dining
2009,6,Illinois,Norovirus Genogroup I,,Suspected,Other,25,1.0,0.0,,,
2009,6,Illinois,,,,Restaurant,3,0.0,0.0,,,other or unknown type
2009,6,Illinois,,,,Caterer,43,0.0,0.0,,,(food prepared off-site from where served)
2009,6,Illinois,,,,Caterer,35,0.0,0.0,roast beef,,(food prepared off-site from where served)
2009,6,New York,Campylobacter jejuni,,Confirmed,Other,9,0.0,0.0,,,
2009,5,Colorado,,,,Restaurant,5,0.0,0.0,,,Sit-down dining
2009,2,Washington,Norovirus,,Suspected,,13,3.0,0.0,"salad, unspecified",,
2009,3,Ohio,Norovirus Genogroup II,,Confirmed,,19,0.0,0.0,,,
2009,2,Ohio,Norovirus Genogroup II,,Suspected,Other,5,0.0,0.0,salad bar; pasta salad with tuna and mayonnaise,,
2009,6,Connecticut,Bacillus cereus,,Confirmed,Caterer,100,0.0,0.0,macaroni and cheese,,(food prepared off-site from where served)
2009,6,Connecticut,Norovirus,,Suspected,Other,10,0.0,0.0,"orange juice, pasteurized",,
2009,6,Connecticut,Scombroid toxin,,Confirmed,Private,2,0.0,0.0,tuna steak,tuna steak,home/residence
2009,6,Massachusetts,Campylobacter jejuni,,Confirmed,,70,2.0,0.0,,,
2009,6,Minnesota,Clostridium perfringens,,Confirmed,Private,18,0.0,0.0,"roast beef, unspecified",,home/residence; Caterer (food prepared off-site from where served)
2009,6,Minnesota,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant,2,1.0,0.0,steak,,Sit-down dining
2009,2,Georgia,Norovirus Genogroup II,,Suspected,Banquet,8,0.0,0.0,,,Facility (food prepared and served on-site)
2009,5,New York,Salmonella enterica,Enteritidis,Confirmed,Restaurant,19,2.0,0.0,malai kofta,,Sit-down dining
2009,6,Missouri,,,,Restaurant,11,0.0,0.0,,,Sit-down dining
2009,5,Missouri,Salmonella enterica,Oranienburg,Confirmed,Private,5,1.0,0.0,,,home/residence
2009,5,California,Norovirus unknown,,Suspected,Restaurant,10,0.0,0.0,,,other or unknown type
2009,4,California,Other - Chemical/Toxin,,Confirmed,Fair,6,0.0,0.0,"cake, brownie",,"festival, other temp or mobile services"
2009,1,Ohio,,,,Restaurant,2,0.0,0.0,,,Sit-down dining
2009,6,New Mexico,Salmonella enterica,Enteritidis,Confirmed,,3,0.0,0.0,,,
2009,2,Ohio,,,,Restaurant,2,0.0,0.0,,,Sit-down dining
2009,1,Ohio,,,,Restaurant,2,0.0,0.0,,,other or unknown type
2009,6,Ohio,,,,Unknown,15,0.0,0.0,,,
2009,6,Minnesota,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Caterer,16,3.0,0.0,,,(food prepared off-site from where served); Grocery store
2009,1,Ohio,,,,Restaurant,4,0.0,0.0,,,Sit-down dining
2009,6,Ohio,"Escherichia coli, Shiga toxin-producing",O157:H7,Suspected,Private,2,2.0,0.0,"ground beef, hamburger",,home/residence
2009,3,Ohio,,,,Restaurant,4,2.0,0.0,"pizza, meat; pizza, meat; cheesy bread stick",,Sit-down dining
2009,5,Florida,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,30,0.0,0.0,,,
2009,1,Florida,Norovirus Genogroup II,,Confirmed,,24,0.0,0.0,,,
2009,5,Oklahoma,Staphylococcus aureus,,Confirmed,,39,0.0,0.0,chicken salad,,
2009,6,Tennessee,,,,Restaurant,6,0.0,0.0,"sandwich, roast beef",,"""Fast-food""(drive up service or pay at counter)"
2009,1,Ohio,Norovirus Genogroup II,GII_12,Confirmed,Caterer,22,0.0,0.0,"sandwich, deli",,(food prepared off-site from where served)
2009,5,California,Norovirus,,Confirmed,,14,0.0,0.0,,,
2009,5,California,Bacillus cereus,,Suspected,Restaurant,4,0.0,0.0,,,Sit-down dining
2009,5,California,,,,Restaurant,21,0.0,0.0,,,other or unknown type
2009,1,Florida,Ciguatoxin,,Confirmed,Private,3,,,"fish, baracuda",,home/residence
2009,1,Florida,Norovirus Genogroup II,,Confirmed,Restaurant,3,,,"squid/calamari, unspecified",,Sit-down dining
2009,7,Missouri,,,,Other,25,0.0,0.0,"onion, unspecified",,
2009,3,Ohio,,,,,2,0.0,0.0,,,
2009,6,Florida,Ciguatoxin,,Confirmed,Restaurant,5,,,"fish, grouper",,Sit-down dining
2009,6,Florida,Ciguatoxin,,Confirmed,Private,4,,,"fish, baracuda",,home/residence
2009,6,Florida,Ciguatoxin,,Confirmed,Private,2,,,"fish, baracuda",,home/residence
2009,4,Michigan,,,,Caterer,13,0.0,0.0,"chicken, unspecified; macaroni and cheese; turkey dishes","cream sauce; cheese, unspecified",(food prepared off-site from where served)
2009,3,Michigan,,,,,9,,0.0,,,
2009,4,Michigan,,,,Restaurant,2,,0.0,,,other or unknown type
2009,3,Michigan,,,,Restaurant,7,0.0,0.0,,,other or unknown type
2009,5,California,,,,Restaurant,6,0.0,0.0,"pudding, unspecified",,Sit-down dining
2009,6,Utah,,,,,15,,0.0,,,
2009,3,Utah,Campylobacter jejuni,,Confirmed,Private,10,0.0,0.0,"queso fresco, unpasteurized",milk,home/residence
2009,2,Colorado,Norovirus,,Suspected,Restaurant,6,0.0,0.0,"flauta, chicken; chile relleno, unspecified; lettuce",,Sit-down dining
2009,7,Minnesota,Norovirus,,Confirmed,Other,6,0.0,0.0,"deli meat, sliced turkey",,
2009,7,Minnesota,Norovirus,,Confirmed,Restaurant,5,0.0,0.0,salads,,Sit-down dining
2009,6,Illinois,Hepatitis A,,Confirmed,Restaurant,34,14.0,0.0,,,"""Fast-food""(drive up service or pay at counter)"
2009,2,Colorado,,,,Restaurant,4,0.0,0.0,,,Sit-down dining
2009,5,Colorado,Clostridium perfringens,,Suspected,Restaurant,5,0.0,0.0,ground beef,ground beef,Sit-down dining
2009,3,North Carolina,Salmonella enterica,Hadar,Confirmed,Long-term,10,0.0,0.0,,,care/nursing home/assisted living facility
2009,5,California,Salmonella enterica,Infantis,Confirmed,Caterer,7,0.0,0.0,"vegetable dip, unspecified",,(food prepared off-site from where served)
2009,1,Colorado,Norovirus,,Suspected,Restaurant,10,1.0,0.0,"pizza, vegetable",mushrooms,"""Fast-food""(drive up service or pay at counter)"
2009,1,Colorado,,,,Restaurant,2,0.0,0.0,"sandwich, roast beef",,"""Fast-food""(drive up service or pay at counter)"
2009,1,Colorado,Norovirus,,Suspected,Caterer,9,0.0,0.0,"sandwich, turkey",,(food prepared off-site from where served)
2009,7,Massachusetts,Salmonella enterica,Javiana,Confirmed,,7,1.0,0.0,,,
2009,5,Indiana,Salmonella enterica,Typhimurium,Confirmed,,7,1.0,0.0,,,
2009,6,Indiana,,,,Prison/jail,107,0.0,0.0,stew/chili/chowder,,
2009,7,Tennessee,Salmonella enterica; Salmonella enterica,Heidelberg; Infantis,Confirmed; Confirmed,Restaurant,53,7.0,0.0,"pork, bbq",,Sit-down dining; Caterer (food prepared off-site from where served)
2009,6,Colorado,Norovirus,,Suspected,Restaurant,32,0.0,0.0,"sandwich, turkey",lettuce; turkey,Sit-down dining
2009,6,Kansas,,,,Restaurant,2,0.0,0.0,,,Sit-down dining
2009,6,Kansas,Norovirus unknown,,Confirmed,Restaurant,13,0.0,0.0,,,Sit-down dining
2009,6,Nevada,Norovirus unknown,,Confirmed,Banquet,44,0.0,0.0,,,Facility (food prepared and served on-site)
2009,4,New Hampshire,Salmonella enterica,Enteritidis,Confirmed,Other,45,1.0,0.0,salads,egg,
2009,4,New Hampshire,Salmonella enterica,Enteritidis,Confirmed,Camp,133,5.0,0.0,"pudding, unspecified",,
2009,5,Hawaii,Ciguatoxin,,Confirmed,,6,0.0,0.0,,,
2009,7,Kansas,,,,Private,4,0.0,0.0,"refried beans, unspecified",,home/residence
2009,7,Nevada,Norovirus unknown,,Confirmed,Restaurant,7,0.0,0.0,"sandwich, club; french fries",,Sit-down dining
2009,6,North Dakota,Salmonella enterica,Montevideo,Confirmed,Private,55,8.0,0.0,,,home/residence; Banquet Facility (food prepared and served on-site)
2009,6,North Dakota,Salmonella enterica,Montevideo,Confirmed,Private,36,2.0,0.0,taco meat,beef,home/residence; Banquet Facility (food prepared and served on-site)
2009,6,North Dakota,Salmonella enterica,Montevideo,Confirmed,Private,88,0.0,0.0,roast beef,beef,home/residence; Banquet Facility (food prepared and served on-site)
2009,6,Maine,Salmonella enterica,Enteritidis,Confirmed,Private,6,1.0,0.0,,,home/residence
2009,7,New York,,,,Camp,24,0.0,0.0,"turkey and gravy; turkey loaf; potato, mashed",,
2009,6,Connecticut,Cyclospora cayetanensis,,Confirmed,Private,8,0.0,0.0,blackberries; raspberries,,home/residence
2009,3,Oregon,Salmonella enterica,Heidelberg,Confirmed,Restaurant,26,8.0,0.0,chicken,chicken,Sit-down dining; Private home/residence
2009,5,Oregon,Salmonella enterica,Muenchen,Confirmed,Restaurant,3,0.0,0.0,,,Sit-down dining
2009,7,Oregon,Norovirus Genogroup II,,Confirmed,Restaurant,31,1.0,0.0,mixed green salad,,Sit-down dining; Other
2009,7,Oregon,Norovirus Genogroup II,,Confirmed,Restaurant,17,0.0,0.0,,,Sit-down dining
2009,7,Oregon,Norovirus Genogroup II,,Confirmed,Caterer,18,0.0,0.0,rolls; watermelon; cheese/roll,"bread; cheese, unspecified",(food prepared off-site from where served)
2009,8,Oregon,Clostridium perfringens,,Suspected,Caterer,21,0.0,0.0,chicken burrito,,(food prepared off-site from where served)
2009,5,New York,,,,Restaurant,18,2.0,0.0,"zucchini, marinated; zucchini, fried; bruschetta; tomatoes with mozzerella; proscuitto with melon; peppers, red, roasted",,Sit-down dining
2009,2,New York,Norovirus,,Confirmed,Restaurant,13,1.0,0.0,,,Sit-down dining
2009,7,New York,,,,Restaurant,23,2.0,0.0,"bread, unspecified; ice cream",,Sit-down dining; Banquet Facility (food prepared and served on-site)
2009,4,New York,Norovirus,,Confirmed,School/college/university,40,0.0,0.0,"deli meat, unspecified; cheese, pre-sliced",,
2009,8,Wisconsin,Norovirus Genogroup II,,Confirmed,Other,24,0.0,0.0,,,
2009,6,Michigan,Clostridium perfringens,,Confirmed,Private,20,0.0,0.0,"pork, unspecified","pork, other",home/residence
2009,7,Ohio,,,,Caterer,36,0.0,0.0,,,(food prepared off-site from where served)
